order_id,customer_id,order_date,category,quantity,unit_price,channel,revenue
10001,376,2023-07-06,clothing,4,37.95,app,151.8
10002,221,2024-05-25,books,4,38.68,app,154.72
10003,268,2024-09-15,books,1,13.65,app,13.65
10004,143,2023-08-16,books,5,9.31,app,46.55
10005,176,2023-06-02,books,5,6.08,app,30.4
10006,124,2023-04-12,electronics,3,8.09,web,24.27
10007,388,2023-02-16,home,3,4.93,app,14.79
10008,170,2023-12-09,toys,4,11.57,web,46.28
10009,345,2024-09-27,home,5,62.02,web,310.1
10010,65,2023-03-18,electronics,4,10.64,app,42.56
10011,131,2024-05-05,toys,4,18.22,app,72.88
10012,75,2024-08-14,clothing,3,25.48,app,76.44
10013,121,2024-11-05,books,1,12.32,web,12.32
10014,276,2024-08-21,home,1,12.24,web,12.24
10015,59,2023-03-31,electronics,1,46.0,app,46.0
10016,222,2023-05-17,electronics,1,19.09,web,19.09
10017,2,2024-12-22,home,3,40.58,app,121.74
10018,909,2023-04-07,electronics,2,111.08,app,222.16
10019,15,2024-12-21,clothing,1,8.2,app,8.2
10020,312,2024-11-22,clothing,3,14.52,web,43.56
10021,359,2023-08-07,toys,4,14.39,web,57.56
10022,918,2024-08-18,books,2,11.06,web,22.12
10023,269,2023-03-14,books,5,11.64,app,58.2
10024,251,2023-05-01,clothing,2,50.52,store,101.04
10025,230,2023-10-19,clothing,2,17.8,app,35.6
10026,316,2023-07-10,clothing,5,120.49,app,602.45
10027,360,2023-12-02,home,5,11.88,app,59.4
10028,218,2023-08-09,clothing,2,54.86,web,
10029,297,2023-08-08,home,5,67.17,app,335.85
10030,397,2023-10-07,books,3,15.39,app,46.17
10031,47,2023-03-10,home,2,23.52,app,47.04
10032,244,2024-05-30,toys,3,33.32,store,99.96
10033,28,2024-09-29,electronics,3,10.53,app,31.59
10034,180,2023-11-08,books,1,62.24,app,62.24
10035,300,2023-06-28,clothing,2,8.59,web,17.18
10036,157,2024-10-24,clothing,4,10.84,web,43.36
10037,42,2024-10-04,clothing,2,10.94,web,21.88
10038,343,2023-12-21,home,4,19.69,web,78.76
10039,101,2023-08-01,books,1,21.38,app,21.38
10040,208,2024-07-08,toys,2,9.88,web,19.76
10041,62,2024-09-17,home,2,15.02,web,30.04
10042,913,2023-02-23,books,4,6.74,app,26.96
10043,158,2023-08-17,electronics,4,41.75,store,167.0
10044,339,2024-09-26,clothing,3,28.67,web,86.01
10045,159,2023-04-12,electronics,5,12.46,app,62.3
10046,145,2023-07-24,clothing,5,14.1,web,70.5
10047,100,2024-08-29,clothing,2,9.67,store,19.34
10048,167,2024-08-24,toys,3,7.82,web,23.46
10049,361,2023-08-14,books,1,6.93,app,6.93
10050,273,2024-10-01,clothing,2,7.84,web,15.68
10051,22,2023-09-05,toys,4,35.4,app,141.6
10052,224,2023-06-25,clothing,5,37.66,app,188.3
10053,206,2023-11-13,electronics,4,5.5,store,22.0
10054,284,2024-03-23,electronics,3,28.76,web,86.28
10055,312,2024-03-31,books,2,6.19,app,12.38
10056,234,2023-08-02,books,3,30.31,web,90.93
10057,362,2024-04-21,books,5,17.59,web,87.95
10058,265,2023-02-13,clothing,5,10.84,app,54.2
10059,140,2023-03-26,clothing,4,23.49,web,93.96
10060,156,2023-07-25,books,3,48.37,web,145.11
10061,355,2024-11-29,books,1,3.67,web,3.67
10062,108,2024-06-07,clothing,4,40.87,web,163.48
10063,59,2023-03-09,clothing,3,8.7,app,26.1
10064,311,2023-03-21,home,1,51.36,web,51.36
10065,177,2024-09-08,books,1,32.89,store,32.89
10066,94,2024-01-20,books,5,6.71,web,33.55
10067,343,2024-06-15,clothing,1,10.32,store,10.32
10068,77,2023-09-06,toys,3,24.15,web,72.45
10069,303,2023-08-22,clothing,2,35.08,app,70.16
10070,141,2023-05-22,books,3,24.07,app,72.21
10071,294,2024-03-24,electronics,1,22.47,web,22.47
10072,319,2024-03-08,clothing,2,9.86,web,19.72
10073,65,2024-02-20,toys,5,16.9,web,84.5
10074,341,2024-11-15,clothing,1,15.51,store,15.51
10075,256,2024-05-12,books,3,4.95,store,14.85
10076,355,2024-11-14,electronics,5,21.51,web,107.55
10077,13,2024-07-01,electronics,5,12.26,web,61.3
10078,313,2023-05-03,clothing,5,49.44,web,247.2
10079,911,2024-01-27,books,3,41.92,web,125.76
10080,290,2024-12-12,books,1,19.06,web,19.06
10081,379,2024-06-16,books,4,39.78,app,159.12
10082,172,2023-04-23,home,5,26.9,app,134.5
10083,290,2023-06-19,books,3,16.15,web,48.45
10084,234,2023-03-26,electronics,4,5.3,app,21.2
10085,139,2024-05-30,books,1,14.47,web,14.47
10086,257,2023-12-04,clothing,4,12.59,app,50.36
10087,149,2023-11-27,books,1,15.05,web,15.05
10088,392,2024-12-15,home,2,13.69,web,27.38
10089,329,2024-11-20,clothing,2,39.75,web,79.5
10090,360,2023-04-08,books,1,43.43,web,43.43
10091,263,2024-09-21,home,4,11.13,app,44.52
10092,347,2024-11-16,electronics,1,5.7,web,5.7
10093,152,2023-02-01,clothing,5,7.56,web,37.8
10094,273,2024-11-01,clothing,5,44.4,app,222.0
10095,138,2024-07-17,books,1,35.36,app,35.36
10096,246,2023-08-17,books,3,6.61,web,19.83
10097,30,2024-03-28,clothing,1,5.09,store,5.09
10098,327,2023-03-02,books,1,10.25,app,10.25
10099,174,2024-06-14,clothing,5,69.18,app,345.9
10100,910,2023-09-30,clothing,2,23.0,store,46.0
10101,354,2023-07-31,home,2,13.61,app,27.22
10102,254,2024-08-09,electronics,5,14.87,web,74.35
10103,110,2024-08-13,books,2,3.65,app,7.3
10104,260,2023-10-07,clothing,2,13.02,web,26.04
10105,313,2023-05-10,clothing,1,44.35,web,44.35
10106,195,2024-07-03,books,5,12.0,web,60.0
